Id,Label,indegree,outdegree,Degree,pageranks,modularity_class
en.wikipedia.org/wiki/Kanpur_division,,59,444,503,7e-06,31
en.wikipedia.org/wiki/Kanpur_Zoological_Park,,55,399,454,7e-06,31
en.wikipedia.org/wiki/Lakh_Bahosi_Sanctuary,,54,251,305,7e-06,31
en.wikipedia.org/wiki/Etawah_Safari_Park,,59,282,341,7e-06,31
en.wikipedia.org/wiki/Sarsai_Nawar_Wetland,,55,206,261,7e-06,31
en.wikipedia.org/wiki/Auraiya_district,,79,631,710,8e-06,31
en.wikipedia.org/wiki/Etawah_district,,84,442,526,8e-06,31
en.wikipedia.org/wiki/Farrukhabad_district,,81,584,665,8e-06,31
en.wikipedia.org/wiki/Kannauj_district,,79,481,560,8e-06,31
en.wikipedia.org/wiki/Kanpur_Nagar_district,,93,506,599,8e-06,31
en.wikipedia.org/wiki/Kanpur_Dehat_district,,83,447,530,8e-06,31
en.wikipedia.org/wiki/Auraiya,,58,148,206,7e-06,31
en.wikipedia.org/wiki/Bidhuna,,56,191,247,7e-06,31
en.wikipedia.org/wiki/Bilhaur,,62,205,267,7e-06,31
en.wikipedia.org/wiki/Ghatampur,,64,215,279,7e-06,31
"en.wikipedia.org/wiki/Akbarpur,_Kanpur_Dehat",,59,407,466,7e-06,31
en.wikipedia.org/wiki/Bhognipur,,55,100,155,7e-06,31
en.wikipedia.org/wiki/Derapur,,55,118,173,7e-06,31
en.wikipedia.org/wiki/Rasulabad,,58,204,262,7e-06,31
en.wikipedia.org/wiki/Sikandara,,58,196,254,7e-06,31
en.wikipedia.org/wiki/Maitha,,56,109,165,7e-06,31
en.wikipedia.org/wiki/Etawah,,70,454,524,8e-06,31
en.wikipedia.org/wiki/Jaswantnagar,,57,123,180,7e-06,31
en.wikipedia.org/wiki/Saifai,,62,517,579,8e-06,31
en.wikipedia.org/wiki/Takha,,58,136,194,7e-06,31
en.wikipedia.org/wiki/Chibramau,,54,220,274,7e-06,31
en.wikipedia.org/wiki/Tirwa,,54,192,246,7e-06,31
en.wikipedia.org/wiki/Farrukhabad,,63,292,355,8e-06,31
en.wikipedia.org/wiki/Kaimganj,,57,264,321,7e-06,31
"en.wikipedia.org/wiki/Amritpur,_Uttar_Pradesh",,54,97,151,7e-06,31
en.wikipedia.org/wiki/Kali_River_(Uttar_Pradesh),,61,146,207,7e-06,31
en.wikipedia.org/wiki/Dibiyapur,,57,505,562,7e-06,31
en.wikipedia.org/wiki/Phaphund_railway_station,,54,372,426,7e-06,31
en.wikipedia.org/wiki/Etawah_Junction_railway_station,,60,320,380,7e-06,31
